frame,x1,y1,w,h,score,ms
198,65.95,257.05,84.36,24.85,0.993,27.8
199,65.08,256.69,83.54,25.19,0.9908,26.4
200,63.61,256.04,83.48,25.22,0.9952,27.7
201,63.36,255.16,84.03,25.44,0.9931,26.6
202,61.14,254.2,84.33,25.53,0.9919,27.9
203,59.86,253.32,84.22,26.19,0.9867,26.4
204,60.17,252.27,84.9,26.36,0.9788,28.2
205,59.24,251.44,85.18,26.72,0.9964,27.1
206,57.03,250.67,84.85,27.09,0.968,27.6
207,58.05,250.64,84.48,27.59,0.9831,26.8
208,57.49,249.98,84.42,27.73,0.9821,27.7
209,57.91,249.74,84.34,28.15,0.9898,27.1
210,58.69,249.82,83.41,28.43,0.9947,27.6
211,58.85,249.58,82.5,28.62,0.9881,27.1
212,59.48,248.82,82.7,28.59,0.9726,27.6
213,61.35,248.14,84.05,28.53,0.9753,27.1
214,61.48,248.36,84.28,28.8,0.9957,27.4
215,62.18,248.59,84.71,29.12,0.9955,27.1
216,60.27,248.34,84.55,29.04,0.9904,27.2
217,58.74,248.31,85.05,29.28,0.9875,27.3
218,57.83,248.09,85.67,29.68,0.9786,27.4
219,56.67,248.62,85.55,29.9,0.9913,27.5
220,56.81,248.7,86.3,30.26,0.9423,27.2
221,58.5,249.26,86.99,30.64,0.9706,27.5
222,56.07,250.02,86.83,30.63,0.9824,27.0
223,57.14,256.44,86.05,31.1,0.9589,27.9
224,59.45,263.0,86.47,31.84,0.9852,26.8
225,58.75,277.31,86.56,32.05,0.9713,27.9
226,60.25,286.71,84.0,34.59,0.9442,26.8
227,59.45,295.79,80.96,35.95,0.9196,27.2
228,57.47,303.2,79.41,36.08,0.9775,26.4
229,55.62,304.19,76.92,36.99,0.9838,27.6
230,60.12,306.6,75.33,37.04,0.992,26.6
231,60.71,307.9,75.42,36.49,0.9959,27.4
232,59.67,306.24,75.27,36.78,0.9858,26.3
233,60.46,298.79,75.75,36.49,0.984,28.2
234,66.73,291.11,77.37,36.41,0.9898,27.3
235,66.34,285.58,78.25,36.41,0.9634,27.6
236,66.53,285.06,80.48,36.1,0.9394,26.6
237,67.32,284.11,82.69,35.97,0.8508,27.4
238,64.99,278.11,82.51,36.04,0.8698,26.7
239,65.28,277.65,83.66,36.27,0.8474,27.8
240,67.74,271.59,83.86,36.49,0.3848,26.9
241,68.65,272.13,84.13,36.72,0.5937,27.4
242,68.1,272.81,84.7,36.83,0.4804,26.6
243,68.9,273.09,84.86,37.14,0.3135,28.2
244,70.09,273.7,85.12,37.87,0.5733,26.9
245,64.66,275.01,85.28,38.11,0.66,28.0
246,66.83,274.5,85.64,38.6,0.5404,26.6
247,68.34,274.87,85.77,38.81,0.2792,27.8
248,63.79,275.65,86.04,39.14,0.6636,26.5
249,63.47,276.97,85.78,39.38,0.7253,28.3
250,64.0,278.77,85.63,39.68,0.4553,27.2
251,65.94,279.69,85.3,40.21,0.459,28.4
252,64.86,287.71,85.21,40.21,0.5541,27.2
253,62.1,289.08,84.64,40.3,0.7447,27.9
