frame,x1,y1,w,h,score,ms
221,78.09,249.29,44.62,28.01,0.947,27.9
222,77.31,250.55,45.07,28.25,0.9691,27.4
223,75.67,255.06,45.82,28.97,0.9489,28.0
224,75.84,262.49,44.2,32.55,0.9027,27.0
225,80.26,273.35,42.47,34.09,0.6791,27.7
226,78.71,288.1,43.27,32.83,0.9125,26.8
227,77.88,297.53,44.14,31.69,0.9105,27.5
228,77.27,302.86,44.29,30.94,0.8884,26.7
229,77.81,306.16,43.81,32.9,0.9402,27.7
230,77.14,310.73,45.43,30.86,0.8784,26.9
231,77.6,309.28,44.41,31.66,0.8497,27.8
232,81.34,303.97,43.38,32.64,0.9489,26.9
233,78.73,297.38,43.13,33.57,0.9314,27.9
234,77.52,292.07,43.72,34.8,0.9064,26.6
235,76.78,286.31,44.89,35.43,0.8886,27.6
236,75.2,286.07,47.86,33.49,0.7955,26.5
237,73.92,280.23,47.68,34.56,0.8246,27.7
238,72.03,285.39,53.06,30.68,0.7672,26.9
239,73.01,281.23,56.51,28.37,0.8328,27.7
240,68.6,282.58,59.83,25.78,0.7442,27.3
241,70.51,284.66,62.26,23.6,0.7045,28.0
242,68.31,283.87,63.81,22.41,0.6529,27.2
243,70.53,276.35,61.87,23.83,0.4686,27.7
244,67.62,285.94,62.48,23.05,0.4843,26.9
245,71.95,290.62,63.84,21.9,0.7816,27.3
246,73.25,289.8,65.34,21.31,0.6949,26.8
247,67.04,289.37,65.64,21.1,0.6513,27.5
248,65.16,293.54,66.85,20.66,0.4976,27.1
249,66.69,293.28,68.0,20.53,0.7828,27.4
250,66.41,296.64,68.53,20.21,0.4299,27.1
251,65.01,300.93,69.14,20.04,0.351,28.0
252,63.84,306.06,69.61,19.87,0.561,27.6
253,60.98,305.96,69.79,20.16,0.5657,27.7
254,67.83,304.4,69.58,20.65,0.5361,27.3
255,57.11,314.22,70.44,20.53,0.5029,27.8
256,60.69,318.84,71.14,20.55,0.524,27.5
257,65.28,318.18,70.88,20.92,0.6622,27.7
258,70.79,311.34,67.24,23.52,0.648,27.5
259,60.27,322.42,68.46,22.89,0.6592,28.0
260,63.56,323.17,68.52,22.71,0.5652,27.1
261,61.49,324.34,68.5,22.74,0.6894,27.6
262,58.7,324.92,69.03,22.37,0.6277,27.3
263,62.46,329.96,69.72,21.64,0.7401,27.6
264,69.55,328.99,71.65,20.99,0.9109,27.0
265,64.26,330.0,72.86,20.37,0.9357,27.4
266,65.41,330.17,74.12,19.79,0.7756,27.3
267,65.46,330.08,74.54,19.93,0.8544,27.6
268,61.74,331.24,74.37,19.79,0.9122,27.7
269,67.48,330.45,75.29,19.88,0.9507,27.4
270,71.18,329.46,75.95,19.6,0.5567,27.4
271,66.76,330.39,76.9,19.48,0.5632,27.1
272,65.08,324.05,77.24,20.05,0.7601,27.6
273,57.37,322.5,77.66,20.75,0.808,27.1
274,61.49,320.61,77.45,20.99,0.7909,27.7
275,61.64,319.2,77.59,21.63,0.7235,27.1
276,62.28,318.89,78.28,21.86,0.6907,27.5
277,61.78,313.08,77.97,22.73,0.7856,26.6
278,61.69,313.81,78.27,22.66,0.8464,27.9
279,61.85,312.43,78.36,23.2,0.8652,26.7
280,61.63,312.45,79.06,23.15,0.8594,27.6
281,62.73,311.63,80.13,23.98,0.9049,26.5
282,62.18,311.1,80.75,24.19,0.8616,27.7
283,56.68,311.1,80.55,24.86,0.8834,26.7
284,64.85,304.78,81.03,25.63,0.8775,28.5
285,61.85,298.84,81.17,26.0,0.8784,26.9
286,65.52,293.16,80.36,26.48,0.8108,27.9
287,63.52,293.35,82.58,25.91,0.8904,26.9
288,63.69,288.71,83.42,25.86,0.6852,27.8
289,59.0,289.43,84.67,26.35,0.7909,26.7
290,64.45,284.72,86.49,26.73,0.7179,27.6
291,60.09,284.66,87.77,27.0,0.7889,27.0
292,57.01,284.67,90.03,26.71,0.8123,28.7
293,55.32,285.22,91.27,26.88,0.7269,26.9
294,55.13,285.88,92.61,26.83,0.6387,28.0
295,57.93,286.93,94.38,27.09,0.7503,26.7
296,52.8,292.74,94.56,27.49,0.9101,28.0
297,53.51,293.79,95.22,28.08,0.9183,27.0
298,53.02,295.22,96.11,28.26,0.7976,27.6
299,51.57,294.8,96.95,28.77,0.8997,26.6
300,51.68,294.88,97.66,29.32,0.7632,28.1
301,53.42,296.18,98.63,30.02,0.7759,27.4
302,55.96,297.84,98.28,29.87,0.8563,28.6
303,56.04,298.98,99.82,29.68,0.8545,27.3
304,57.85,300.68,100.22,29.87,0.8207,28.4
305,62.19,301.03,100.25,29.31,0.9256,26.9
306,56.35,302.41,98.82,29.64,0.9025,28.0
307,57.0,302.47,98.47,29.94,0.6702,27.0
308,61.0,303.16,98.41,30.13,0.7947,28.5
309,61.03,304.11,99.03,30.67,0.816,27.4
310,57.45,309.78,99.4,29.88,0.8375,27.4
311,59.97,310.75,99.34,30.06,0.7725,26.7
312,60.96,312.32,99.18,29.92,0.803,28.0
313,63.96,319.14,99.87,29.57,0.5985,27.1
314,67.45,320.82,99.76,29.57,0.4465,28.2
315,67.33,319.78,100.28,29.68,0.5923,27.0
316,64.24,318.57,101.13,29.1,0.8028,28.1
317,62.96,318.57,102.26,28.49,0.8083,26.6
318,64.22,310.97,102.18,29.22,0.7242,27.7
319,69.6,303.6,103.33,29.39,0.7981,26.6
320,64.54,296.18,105.02,29.95,0.7281,28.3
321,67.6,295.96,103.73,30.2,0.9408,27.0
322,74.96,287.49,106.22,29.84,0.6943,27.7
323,76.53,279.66,107.39,30.36,0.8226,26.6
324,76.24,272.4,108.95,30.6,0.4579,27.4
325,76.39,265.32,109.92,31.14,0.6297,26.6
326,77.79,267.9,112.52,31.63,0.5835,27.9
327,67.86,267.7,113.82,31.43,0.4782,26.8
328,76.45,259.78,114.66,31.69,0.4727,28.1
329,67.6,259.41,115.2,31.8,0.6577,26.6
330,69.7,259.94,115.57,32.27,0.7602,27.8
331,65.78,260.48,116.42,32.39,0.6718,26.7
332,65.7,261.6,116.09,32.91,0.5878,28.3
333,66.78,261.31,116.59,32.77,0.6616,27.3
334,67.96,262.96,116.4,32.47,0.7483,28.0
335,74.52,264.1,118.26,31.96,0.7086,26.6
336,73.66,264.81,118.81,33.14,0.909,27.8
337,60.28,265.88,119.21,33.18,0.7194,27.0
338,63.38,268.29,119.17,33.78,0.5606,28.0
339,57.2,277.92,119.75,33.83,0.6001,26.6
340,57.93,279.79,121.26,33.98,0.7781,27.9
341,55.36,280.38,120.64,34.35,0.769,26.9
342,64.03,281.05,120.23,34.59,0.4886,28.5
343,59.0,282.53,120.73,34.46,0.5817,26.9
344,62.44,284.88,122.44,34.15,0.6131,28.3
345,58.4,288.15,122.02,34.51,0.4072,26.8
346,56.68,289.79,121.41,34.99,0.6122,28.3
347,61.19,290.39,121.9,34.99,0.6023,26.9
348,57.12,283.22,122.05,35.26,0.4285,27.8
349,61.73,285.42,122.59,35.38,0.4975,27.1
350,55.34,285.43,122.82,35.37,0.6431,28.2
351,60.93,286.08,123.67,35.28,0.7198,26.7
352,64.63,279.95,124.63,35.43,0.5768,28.2
353,61.23,281.06,124.39,35.71,0.6425,26.9
354,61.55,273.52,126.26,36.53,0.7106,27.9
